"","Codigo","Provincia","Municipio","Comarca","Tasainicial","LONGITUD_ETRS89","LATITUD_ETRS89","Indemnizacion","Valor_Prod","VIVO","Ind_VP2"
"135",41082,41,82,7,0.076925404,-4.7797279,37.19940589,23365,499127.89,12,0.0468116498158418
"136",18059,18,59,1,0.06402467,-3.77093889,37.20165324,0,5047.81,6,0
"137",29001,29,1,1,0.085529839,-4.66026922,37.2094587,26231.63,229208.18,12,0.114444563016905
"138",18099,18,99,1,0.06402467,-3.51676416,37.2184559,0,3782.4,1,0
"139",18079,18,79,1,0.06402467,-3.78484242,37.21996834,2806.51,43761.42,10,0.0641320597000737
"140",41077,41,77,6,0.089449445,-5.30648646,37.22272096,720600.72,5307759.33,12,0.135763638702887
"141",41072,41,72,7,0.076925404,-4.89550627,37.22335024,12112.42,219029.74,11,0.0553003441450462
"142",18003,18,3,1,0.06402467,-3.65748033,37.23090185,25759.97,205513.78,5,0.12534424698918
"143",18189,18,189,7,0.031810654,-3.5542762,37.2309964,54.19,1665.86,2,0.0325297443962878
"144",29047,29,47,1,0.085529839,-4.48846113,37.23576989,0,89.28,1,0
"145",41068,41,68,5,0.130840702,-5.10120623,37.23757134,6693842.84,35886464.78,12,0.186528343793022
"146",41097,41,97,4,0.071551893,-6.30651195,37.24619138,13894.64,103973.55,8,0.133636295000026
"147",14048,14,48,5,0.104089578,-4.58251386,37.24883679,0,17154.8,5,0
"148",41001,41,1,7,0.076925404,-4.99341911,37.25197969,2879.17,19735.96,12,0.145884466729766
"149",41046,41,46,7,0.076925404,-4.91428059,37.25226698,17733.59,124232.58,11,0.142745083455564
"150",18158,18,158,1,0.06402467,-3.74737519,37.25412074,12586.24,282355.64,10,0.0445758405959236
"151",18907,18,907,2,0.149622578,-3.09745106,37.25634459,14823.59,60215.1,10,0.246177287756725
"152",18095,18,95,2,0.149622578,-3.59731995,37.25714434,6464.64,25944.57,8,0.249171213860935
"153",14037,14,37,6,0,-4.30793236,37.25784671,1931.26,23169.43,4,0.0833537985181336
"154",21041,21,41,4,0.059278509,-6.95040588,37.26004113,61778.01,1563534.79,11,0.0395117591211386
"155",21005,21,5,6,0,-6.51747768,37.26252304,4331.18,64852.66,5,0.0667849244734141
"156",41011,41,11,5,0.130840702,-5.54476269,37.26265472,984853.46,9132553.45,12,0.107839879108509
"157",14010,14,10,5,0.104089578,-4.53987316,37.26716339,0,4433,1,0
"158",29049,29,49,1,0.085529839,-4.41410228,37.26765901,0,427.94,2,0
"159",41079,41,79,4,0.071551893,-6.06098644,37.26894589,258333.74,1720605.76,12,0.150141157263126
"160",41054,41,54,7,0.076925404,-4.82593739,37.27018223,3033.57,25246.09,3,0.120159993092
"161",21002,21,2,4,0.059278509,-7.02327311,37.2723312,0,7538.08,2,0
"162",14024,14,24,5,0.104089578,-4.48724904,37.27334279,1154.19,12722.17,4,0.0907227304775836
"163",18050,18,50,5,0.078121732,-3.57526467,37.27380305,998.2,43395.02,4,0.0230026394733774
"164",21050,21,50,6,0,-6.83691754,37.27471025,0,25836.6,2,0
"165",18025,18,25,2,0.149622578,-3.2055964,37.2809596,2728.95,16945.6,2,0.161041804362194
"166",41034,41,34,2,0.109414708,-6.05111441,37.28383805,86429.87,612090.41,11,0.141204417824484
"167",41041,41,41,7,0.076925404,-4.8765968,37.28845167,113807.68,970443.44,12,0.117273892850468
"168",41038,41,38,2,0.109414708,-5.91334407,37.28894862,192873.43,2280378.68,12,0.0845795620225672
"169",41071,41,71,5,0.130840702,-5.49618766,37.28989484,1129547.81,5148543.2,12,0.219391732014602
"170",21040,21,40,6,0,-6.37618796,37.29250784,190.15,280490.22,6,0.000677920249768423
"171",41026,41,26,7,0.076925404,-4.75917554,37.29540105,83871.34,579709.38,12,0.144678252402954
"172",41075,41,75,3,0.090476786,-6.30277734,37.30120943,103096.38,1139816.12,9,0.0904500104806379
"173",21046,21,46,6,0,-6.73059967,37.30382694,0,48229.05,6,0
"174",18054,18,54,10,0.037401083,-3.21870296,37.30400297,0,1565.41,2,0
"175",41012,41,12,4,0.071551893,-6.25236186,37.30473423,687163.62,4645177.99,12,0.147930525262822
"176",41014,41,14,7,0.076925404,-4.67235965,37.30789829,3415.73,36169.14,8,0.094437689146051
"177",21061,21,61,5,0.074209482,-6.59837347,37.30797309,23425.93,309760.17,9,0.075626023836441
"178",41010,41,10,3,0.090476786,-6.11334069,37.30889164,31138.13,252453.7,7,0.123341943493005
"179",21064,21,64,5,0.074209482,-6.84116392,37.31549608,88810.8,826311.56,12,0.107478588342634
"180",18167,18,167,1,0.06402467,-3.18924015,37.31771856,8584.74,75395.62,2,0.113862582468318
"181",18135,18,135,1,0.06402467,-4.01052383,37.32104934,5399.31,19338.67,2,0.279197587010896
"182",21014,21,14,5,0.074209482,-6.68397297,37.32109958,0,33441.31,1,0
"183",18067,18,67,1,0.06402467,-3.33182232,37.32111088,6853.44,18480.57,7,0.370845704434441
"184",41070,41,70,2,0.109414708,-6.05681494,37.3227078,48641.61,166940,3,0.291371810231221
"185",14058,14,58,6,0,-4.37022684,37.32526431,0,99.59,2,0
"186",18066,18,66,2,0.149622578,-3.59424027,37.32594516,7004.41,21369.48,4,0.327776342709322
"187",41060,41,60,5,0.130840702,-5.41641222,37.33366244,4143304.12,21103539.66,12,0.196332188189893
"188",41004,41,4,5,0.130840702,-5.85065057,37.33466457,2540516.6,18346506.6,12,0.13847413327178
"189",4008,4,8,2,0.104225897,-2.59756879,37.33611796,1975.74,14639.47,4,0.134959803872681
"190",21013,21,13,5,0.074209482,-6.53535271,37.33626979,870.56,70209.59,7,0.0123994457167461
"191",41016,41,16,3,0.090476786,-6.13871172,37.34067672,76565.46,646938.55,10,0.118350436838244
"192",18132,18,132,6,0.03746713,-3.78682853,37.3426959,22661.05,712087.88,12,0.0318233895513009
"193",4083,4,83,2,0.104225897,-2.50991257,37.34295293,3048.42,25331.95,10,0.120338939560515
"194",4092,4,92,2,0.104225897,-2.43885542,37.34438543,1223.01,13783.69,7,0.0887287801742494
"195",4076,4,76,2,0.104225897,-2.36166335,37.34731041,112.61,1016.58,4,0.110773377402664
"196",18063,18,63,2,0.149622578,-3.29325661,37.35059768,15403.6,40442.07,5,0.380880602798027
"197",41015,41,15,3,0.090476786,-6.19803181,37.35305517,13198.34,631743.37,7,0.0208919327479448
"198",41052,41,52,5,0.130840702,-5.22361172,37.35347559,140807.54,924061.3,12,0.152379003427586
"199",41084,41,84,5,0.130840702,-4.99016115,37.35563187,89761.55,607330.7,12,0.147796826341893
"200",41051,41,51,3,0.090476786,-6.27662907,37.35710933,84149.78,1908892.95,12,0.0440830272855269
"201",21030,21,30,5,0.074209482,-6.39509296,37.36036663,12725.02,546066.86,11,0.0233030438800113
"202",21053,21,53,5,0.074209482,-6.67961259,37.36154941,17372.37,209274.81,12,0.0830122363986378
"203",41050,41,50,7,0.076925404,-4.84797484,37.36666181,22087.82,269427.81,12,0.0819804755863918
"204",41025,41,25,3,0.090476786,-6.32968463,37.36795334,7809.95,112182.81,12,0.0696180635874605
"205",41017,41,17,3,0.090476786,-6.07106043,37.3701151,12083.56,51599.27,4,0.234180832403249
"206",41061,41,61,7,0.076925404,-4.96269072,37.37115941,57776.14,641449.47,12,0.0900712257194631
"207",41058,41,58,5,0.130840702,-5.74567851,37.37311949,999271.29,4271427.37,12,0.233943177172646
"208",41093,41,93,3,0.090476786,-6.04697812,37.37503003,0,1197.32,2,0
"209",21035,21,35,4,0.059278509,-6.97357026,37.37613276,96069.74,679448.48,11,0.141393708026251
"210",41040,41,40,3,0.090476786,-6.12488688,37.38262852,7399.48,101666.14,12,0.0727821475271905
"211",21070,21,70,5,0.074209482,-6.83379212,37.38311439,80249.72,1319300.51,12,0.0608274759175224
"212",41087,41,87,3,0.090476786,-6.20123512,37.38407444,300103.27,7158985.88,12,0.0419198019147371
"213",41030,41,30,3,0.090476786,-6.3344173,37.38510033,33721.14,587365.16,11,0.057410861754211
"214",41091,41,91,2,0.109414708,-5.99251368,37.38620512,39904.96,435444.01,11,0.0916420000817097
"215",21047,21,47,5,0.074209482,-6.42830723,37.38709216,52643.66,820228.26,12,0.0641817193667529
"216",21054,21,54,5,0.074209482,-6.55312863,37.3876449,73626.53,512318.07,10,0.143712537799028
"217",14056,14,56,5,0.104089578,-4.77225259,37.3883058,16678.3,326832.91,11,0.0510300507987399
"218",41102,41,102,5,0.130840702,-5.71853155,37.38897534,363739.66,1515850.52,12,0.239957472851611
"219",21077,21,77,5,0.074209482,-6.60851594,37.38899587,71769.52,1182210.61,12,0.0607078970472106
"220",4085,4,85,2,0.104225897,-2.38745675,37.39094721,611.48,5950.36,4,0.102763530273799
