X;LONGITUD;LATITUD;Ind_VP2;Valor_Prod
274;-4.84662658;37.56749755;0.037156894;6.663969557
275;-3.50494602;37.57189363;0.021877931;0.576497135
276;-6.75345585;37.57225802;0.0267515;0.013417002
277;-3.24475946;37.58043998;0.039843078;1.425774393
278;-4.74928409;37.58273217;0.0439345;0.120329135
279;-2.57596221;37.58371761;0.029828461;2.850264298
280;-4.46660548;37.58553839;0.036875563;0.045276812
281;-5.96677775;37.58682997;0.011400019;0.100917607
282;-5.8734948;37.58785018;0.004685711;0.033230907
283;-4.63785702;37.59232558;0.03445272;1.377707238
284;-2.26658541;37.59512473;0.034594222;0.654153772
285;-1.31668619;37.59763627;0.030998754;0.086411213
286;-5.21129413;37.59873915;0.038329127;0.493287677
287;-5.82628909;37.60521841;0.019951765;0.773932497
288;-4.74076968;37.60858832;0.029158781;9.829496439
289;-2.6992125;37.60889166;0.025724792;0.102873433
290;-4.32895878;37.61318847;0.025846794;4.497702021
291;-5.67165417;37.61469683;0.088023499;0.236593805
292;-7.02475841;37.6278825;0.009640102;8.60E-05
293;-4.69899102;37.64747277;0.025678056;4.044402369
294;-2.07415558;37.64799415;0.031963494;0.020309723
295;-3.4610967;37.65066057;0.021325696;1.323846269
296;-5.53035872;37.65333439;0.026191021;7.010951114
297;-4.82514553;37.65457388;0.020398739;0.359590377
298;-2.771069;37.65604885;0.010443137;0.149582948
299;-5.711748;37.65723193;0.016921083;1.048954021
300;-4.71932943;37.66833878;0.021220088;0.846524944
301;-5.98933717;37.67485787;0.011042785;0.105374352
302;-4.93225379;37.67519215;0.026871347;1.834001308
303;-1.69930754;37.67700133;0.065265077;4.884284762
304;-4.85258274;37.68081318;0.025782886;3.269957126
305;-4.55377679;37.68083913;0.026791023;0.926915462
306;-4.48168693;37.69040121;0.034259406;4.872212555
307;-2.09608111;37.69085853;0.044838606;4.528253888
308;-5.28521754;37.70113499;0.022582538;6.610387859
309;-5.10411463;37.70323501;0.022387461;1.328030269
310;-3.28571551;37.70505863;0.026737018;0.363057151
311;-2.93451693;37.70555969;0.026980081;0.001550385
312;-5.34723844;37.70741419;0.013162294;0.737912398
313;-2.16479793;37.7115544;0.048991292;5.217796621
314;-2.64338292;37.71495776;0.007918297;0.053607545
315;-2.99833046;37.71580061;0.004970632;0.000393689
316;-2.47903387;37.72200758;0.020256766;0.204113789
317;-3.96731694;37.72361102;0.006686612;0.001522799
318;-3.38078947;37.72377356;0.094829421;0.000103884
319;-6.17850596;37.7251992;0.004674988;0.002800298
320;-7.08598329;37.72645716;0.001634124;0.005394286
321;-2.55073185;37.7433215;0.04372146;1.362949168
322;-4.1704972;37.75328664;0.030762524;0.810889507
323;-4.94537097;37.75846258;0.01895232;5.839114642
324;-3.20142352;37.75901292;0.043994241;0.018184513
325;-3.7903594;37.7651913;0.030897953;2.595597756
326;-3.95783111;37.76767149;0.009819166;0.45253354
327;-1.50261006;37.76955169;0.026858214;0.001974012
328;-3.89658883;37.7704605;0.019524442;0.162949159
329;-4.21935803;37.77497124;0.023686386;0.363409209
330;-3.61182745;37.78628089;0.115363801;0.007074791
331;-3.51098941;37.7863017;0.004977768;0.003340621
332;-1.573199612;37.79416703;0.004907759;0.003090783
333;-4.1578204;37.79859259;0.02587321;0.296636141
334;-5.10716405;37.80042527;0.012861409;2.082183752
