ID;Municipio;Direccion;Longitud;Latitud;Rotulo;Rotulo2;Casos;Media;DesT;CVP;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31;Dia32;Dia33;Dia34;Dia35;Dia36;Dia37;Dia38;Dia39
36;MOLINA DE SEGURA         ;AVENIDA DEL GOLF. S/N;-1.178139;38.066722;SHELL;SHELL;1;1.175308;0.018585;0.015813;1.184;1.184;1.184;1.184;1.189;1.150;1.215;1.205;1.205;1.205;1.194;1.184;1.189;1.189;1.189;1.189;1.181;1.181;1.189;1.184;1.184;1.184;1.184;1.169;1.158;1.158;1.158;1.158;1.158;1.158;1.145;1.145;1.145;1.145;1.165;1.165;1.165;1.165;1.154
37;SAN PEDRO DEL PINATAR    ;AVENIDA DOCTOR ARTERO GUIRAO. 2;-0.787639;37.843333;HERMANOS NAVARRO;OTRO;1;1.122231;0.019916;0.017747;1.119;1.119;1.119;1.119;1.119;1.245;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119
38;SAN PEDRO DEL PINATAR    ;AVENIDA DOCTOR ARTERO GUIRAO. 219/225;-0.798944;37.830167;CEPSA;CEPSA;1;1.183513;0.020570;0.017380;1.194;1.195;1.195;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.175;1.175;1.169;1.169;1.169;1.169;1.174;1.164;1.164;1.164;1.169;1.159;1.159;1.164;1.164;1.159;1.159;1.159;1.155;1.155
39;CHURRA                   ;AVENIDA DON JUAN DE BORBON. S/;-1.137500;38.018528;THADER;OTRO;1;1.214188;0.008394;0.006914;1.219;1.219;1.219;1.219;1.219;1.205;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.199;1.199;1.199;1.199;1.199;1.199;1.199
40;MURCIA                   ;AVENIDA DON JUAN DE BORBON. S/N;-1.139694;38.019806;SHELL;SHELL;1;1.148282;0.029457;0.025653;1.159;1.158;1.158;1.185;1.175;1.269;1.189;1.174;1.174;1.174;1.169;1.166;1.166;1.166;1.166;1.166;1.146;1.146;1.146;1.134;1.134;1.134;1.134;1.119;1.114;1.138;1.116;1.116;1.116;1.116;1.121;1.121;1.121;1.121;1.139;1.139;1.139;1.139;1.120
41;CHURRA                   ;AVENIDA DON JUAN DE BORBON. SN;-1.142972;38.024083;CEPSA;CEPSA;1;1.186538;0.020405;0.017197;1.199;1.199;1.199;1.225;1.215;1.229;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.179;1.179;1.169;1.169;1.164;1.164;1.175;1.165;1.165;1.165;1.169;1.164;1.164;1.179;1.179;1.165;1.165;1.165;1.164;1.159
42;MURCIA                   ;AVENIDA DON JUAN DE BORBÓN.. S/N;-1.136972;38.018278;CAMPSA;CAMPSA;1;1.167205;0.008434;0.007226;1.169;1.169;1.169;1.169;1.169;1.199;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.149;1.149;1.149;1.149;1.149
43;SAN PEDRO DEL PINATAR    ;AVENIDA DR ARTERO GUIRAO. 12;-0.788111;37.842361;CAMPSA;CAMPSA;1;1.102590;0.022129;0.020070;1.099;1.099;1.099;1.099;1.099;1.239;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099
44;MOLINA DE SEGURA         ;AVENIDA EL CHORRICO. S/N;-1.197278;38.061472;BP;BP;1;1.185359;0.023548;0.019865;1.198;1.198;1.198;1.198;1.209;1.209;1.209;1.209;1.209;1.209;1.219;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.198;1.188;1.188;1.188;1.188;1.169;1.169;1.169;1.158;1.158;1.158;1.158;1.148;1.148;1.158;1.158;1.158;1.158;1.158;1.158;1.158
45;LORCA                    ;AVENIDA EUROPA. 40;-1.681556;37.682139;EUROPA;OTRO;1;1.197718;0.015221;0.012709;1.219;1.219;1.219;1.209;1.209;1.159;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.169
