ID;Municipio;Direccion;Longitud;Latitud;Rotulo;Rotulo2;Casos;Media;DesT;CVP;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31;Dia32;Dia33;Dia34;Dia35;Dia36;Dia37;Dia38;Dia39
167;TORRE-PACHECO            ;CARRETERA DE TORREPACHECO A LOS ALCAZARES KM. 6.192;-0.895583;37.738056;PETROLI;OTRO;1;1.173077;0.021299;0.018157;1.189;1.189;1.189;1.198;1.189;1.249;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149
168;CEHEGIN                  ;CARRETERA DEL  CAMPILLO. POL IND EL MULADAR KM. 1.3;-1.783028;38.094972;U.S. TRANSMARAVILLAS;OTRO;1;1.143769;0.017297;0.015123;1.169;1.169;1.169;1.189;1.149;1.205;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.139;1.139;1.139;1.139;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129
169;POZO ESTRECHO            ;CARRETERA DEL ALBUJON KM. S/N;-1.021583;37.720417;TINACAR;OTRO;1;1.154897;0.017055;0.014767;1.169;1.169;1.169;1.149;1.159;1.239;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139
170;MURCIA                   ;CARRETERA DEL PALMAR KM. 69;-1.136861;37.971556;GALP;GALP;1;1.179077;0.020890;0.017717;1.209;1.209;1.209;1.159;1.192;1.249;1.179;1.189;1.189;1.189;1.194;1.199;1.194;1.194;1.194;1.194;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.169;1.159;1.169;1.169;1.169;1.169;1.169;1.159;1.159;1.149;1.149;1.154;1.154;1.154;1.154;1.154
171;MURCIA                   ;CARRETERA E-1 KM. 1;-1.148778;37.971000;SHELL;SHELL;1;1.185615;0.014244;0.012014;1.219;1.219;1.219;1.181;1.189;1.225;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169
172;ALHAMA DE MURCIA         ;CARRETERA E-10 KM. 1.750;-1.404250;37.844667;DIALCO EL PRADO;OTRO;1;1.129513;0.025914;0.022943;1.149;1.139;1.139;1.189;1.139;1.249;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.129;1.129;1.129;1.119;1.119;1.119;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109
173;PUERTO LUMBRERAS         ;CARRETERA E-15/A-7 KM. 583;-1.771028;37.598389;SHELL;SHELL;1;1.185538;0.029464;0.024853;1.179;1.199;1.199;1.139;1.214;1.159;1.249;1.229;1.229;1.229;1.224;1.214;1.219;1.219;1.219;1.219;1.214;1.204;1.184;1.184;1.184;1.184;1.184;1.189;1.174;1.174;1.154;1.154;1.154;1.154;1.164;1.164;1.154;1.154;1.154;1.154;1.154;1.154;1.154
174;SANGONERA LA SECA;CARRETERA E-15/A-7/N-340 KM. 648;-1.253528;37.957889;BP;BP;1;1.211821;0.017034;0.014056;1.212;1.209;1.209;1.200;1.229;1.215;1.239;1.239;1.239;1.239;1.239;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.199;1.199;1.199;1.199;1.199
175;JIMENADO                 ;CARRETERA F-14 KM. 4;-0.992778;37.748722;CEPSA;CEPSA;1;1.171641;0.020478;0.017478;1.187;1.187;1.187;1.219;1.197;1.209;1.197;1.197;1.197;1.197;1.187;1.187;1.197;1.182;1.182;1.182;1.177;1.177;1.167;1.167;1.167;1.167;1.167;1.157;1.157;1.157;1.147;1.147;1.147;1.147;1.147;1.147;1.153;1.153;1.153;1.153;1.153;1.153;1.143
176;BENIEL                   ;CARRETERA F-17 KM. 1.660;-0.993889;38.033361;REPSOL;REPSOL;1;1.184231;0.021033;0.017761;1.205;1.205;1.205;1.197;1.205;1.259;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.185;1.185;1.185;1.185;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.155
177;APARECIDA (LA)           ;CARRETERA F-37 KM. 7.700;-0.942250;37.643222;CABEZO VENTURA;OTRO;1;1.149282;0.026340;0.022919;1.169;1.169;1.169;1.205;1.149;1.254;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.179;1.179;1.179;1.149;1.149;1.149;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119
178;CORVERA                  ;CARRETERA FUENTE ALAMO KM. 7;-1.131667;37.779028;REPSOL;REPSOL;1;1.179690;0.023625;0.020027;1.219;1.219;1.219;1.149;1.199;1.149;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159
179;CARAVACA DE LA CRUZ      ;CARRETERA GRANADA. P.J. SANTA INES KM. 1;-1.867944;38.089472;GALP ;GALP ;1;1.191795;0.021754;0.018253;1.219;1.209;1.209;1.199;1.229;1.196;1.219;1.219;1.219;1.215;1.215;1.215;1.219;1.219;1.219;1.209;1.209;1.209;1.189;1.184;1.184;1.174;1.174;1.169;1.169;1.189;1.169;1.169;1.169;1.169;1.175;1.175;1.175;1.175;1.169;1.169;1.169;1.159;1.159
180;ARCHENA                  ;CARRETERA L-522 (ARCHENA-VILLANUEVA) KM. 1;-1.305806;38.119472;REPSOL;REPSOL;1;1.176615;0.022401;0.019039;1.179;1.179;1.179;1.229;1.179;1.235;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.196;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.159;1.159;1.159;1.159;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149
181;ROLDAN                   ;CARRETERA LOS MARTINEZ DEL PUERTO. RM F21 KM. 9.5;-1.021583;37.810056;F21;OTRO;1;1.166333;0.013548;0.011616;1.170;1.170;1.170;1.179;1.179;1.219;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.155;1.155;1.155;1.155;1.155;1.155;1.155;1.155;1.155;1.155;1.155;1.155;1.130
182;CABEZO CORTADO;CARRETERA MADRID KM. 388.200;-1.171028;38.027694;V2 GASOLINERAS;OTRO;1;1.153138;0.017124;0.014850;1.149;1.149;1.149;1.179;1.149;1.239;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149
184;TOTANA                   ;CARRETERA MAZARRON KM. 2;-1.479111;37.755889;HNOS BAÑOS;OTRO;1;1.204538;0.011209;0.009305;1.209;1.209;1.209;1.149;1.209;1.235;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199
185;TOTANA                   ;CARRETERA MAZARRON KM. 2;-1.483222;37.756972;COATO;OTRO;1;1.148410;0.016103;0.014022;1.155;1.155;1.155;1.209;1.155;1.209;1.155;1.155;1.155;1.155;1.155;1.155;1.155;1.155;1.155;1.155;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.140;1.130;1.130
186;MOLINA DE SEGURA         ;CARRETERA MOLINA FORTUNA KM. 6.5;-1.165111;38.108611;CEPSA;CEPSA;1;1.209667;0.016407;0.013563;1.209;1.209;1.209;1.155;1.229;1.209;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199
187;BENIAJAN                 ;CARRETERA MU-300 KM. 4.8;-1.076750;37.982944;REPSOL;REPSOL;1;1.197872;0.024456;0.020416;1.209;1.209;1.209;1.229;1.225;1.209;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.229;1.229;1.229;1.219;1.209;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.169;1.169;1.169;1.169;1.169;1.169;1.179;1.179;1.179;1.179;1.179;1.179;1.169
188;PALMAR O LUGAR D. JUAN   ;CARRETERA MU-302 KM. 9.2;-1.151333;37.943278;GALP;GALP;1;1.216179;0.021116;0.017363;1.229;1.229;1.229;1.219;1.229;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.209;1.209;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189
189;PALMA (LA)               ;CARRETERA MU-311 KM. 25.2;-0.964778;37.691083;ROYMAGA PETROLEOS;OTRO;1;1.156436;0.022155;0.019158;1.159;1.159;1.159;1.229;1.159;1.239;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.129;1.129;1.129;1.129;1.129;1.129;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149
190;BELONES (LOS)            ;CARRETERA MU-312 KM. 11;-0.794778;37.627889;CEPSA;CEPSA;1;1.183667;0.021413;0.018091;1.195;1.199;1.199;1.159;1.215;1.239;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.175;1.175;1.169;1.169;1.164;1.164;1.175;1.165;1.165;1.165;1.169;1.164;1.164;1.165;1.165;1.164;1.164;1.164;1.155;1.155
191;BELONES (LOS)            ;CARRETERA MU-312 KM. 11;-0.794361;37.628611;CEPSA;CEPSA;1;1.185359;0.021997;0.018557;1.195;1.199;1.199;1.225;1.215;1.239;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.175;1.175;1.169;1.169;1.164;1.164;1.175;1.165;1.165;1.165;1.169;1.164;1.164;1.165;1.165;1.164;1.164;1.164;1.155;1.155
192;CABO DE PALOS            ;CARRETERA MU-312 KM. 14.9;-0.708889;37.627944;REPSOL;REPSOL;1;1.211564;0.019306;0.015934;1.219;1.219;1.219;1.225;1.239;1.203;1.249;1.249;1.249;1.239;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.199;1.199;1.199;1.199;1.199
193;SAN ANTONIO ABAD         ;CARRETERA MU-36F KM. 1.5;-0.988278;37.639333;REPSOL;REPSOL;1;1.201308;0.020059;0.016698;1.209;1.209;1.209;1.229;1.229;1.199;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.199;1.199;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.189;1.179;1.179;1.179;1.179;1.179
194;CABEZO DE TORRES         ;CARRETERA MU-4 KM. 4.5;-1.115944;38.038806;CEPSA;CEPSA;1;1.156436;0.021450;0.018548;1.189;1.189;1.189;1.219;1.149;1.199;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.189;1.189;1.189;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.159;1.139;1.139;1.169;1.169;1.129;1.129;1.129;1.129;1.129
195;YECLA                    ;CARRETERA MU-424 KM. 31;-1.109361;38.617861;REPSOL;REPSOL;1;1.189872;0.017610;0.014800;1.185;1.185;1.185;1.149;1.199;1.249;1.215;1.219;1.219;1.219;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
196;TOTANA                   ;CARRETERA MU502 KM. 1.9;-1.516028;37.782194;E.S. LA SANTA;OTRO;1;1.209588;0.012589;0.010407;1.219;1.219;1.219;1.189;1.219;1.239;1.219;1.219;1.219;1.219;1.219;1.219;1.159;1.159;1.159;1.159;1.219;1.219;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199
197;YECHAR                   ;CARRETERA MU-530 KM. 16.38;-1.434389;38.071806;GALP;GALP;1;1.155316;0.018977;0.016425;1.169;1.169;1.169;1.219;1.159;1.219;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.149;1.149;1.149;1.149;1.149;1.149;1.139;1.139;1.139;1.139;1.129;1.129;1.129;1.129;1.129
198;BLANCA                   ;CARRETERA MU-553 KM. 2.2;-1.352694;38.177917;CAMPSA;CAMPSA;1;1.201051;0.021505;0.017905;1.219;1.219;1.219;1.159;1.229;1.199;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
199;PALMAR O LUGAR D. JUAN   ;CARRETERA MU603 KM. 2;-1.184222;37.936639;CAMPSA;CAMPSA;1;1.124513;0.024982;0.022216;1.139;1.139;1.139;1.219;1.139;1.159;1.139;1.139;1.139;1.139;1.139;1.134;1.134;1.134;1.134;1.134;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099
200;PALMAR O LUGAR D. JUAN   ;CARRETERA MU-603 KM. 3.3;-1.196722;37.934889;SHELL;SHELL;1;1.144103;0.020741;0.018129;1.159;1.159;1.159;1.139;1.159;1.209;1.169;1.159;1.159;1.159;1.154;1.149;1.154;1.154;1.154;1.154;1.154;1.154;1.159;1.159;1.159;1.159;1.159;1.159;1.119;1.119;1.119;1.119;1.119;1.119;1.124;1.124;1.121;1.121;1.121;1.121;1.121;1.121;1.121
201;SAN GINES                ;CARRETERA MU-611 KM. 3;-1.175556;37.950417;CEPSA;CEPSA;1;1.182641;0.020264;0.017135;1.195;1.199;1.199;1.149;1.215;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.175;1.175;1.169;1.169;1.164;1.164;1.175;1.165;1.165;1.165;1.169;1.164;1.164;1.165;1.165;1.164;1.164;1.164;1.155;1.155
202;ARCHENA                  ;CARRETERA MURCIA 554 KM. 4.816;-1.273472;38.119444;HLH;OTRO;1;1.153000;0.020476;0.017759;1.159;1.159;1.159;1.225;1.159;1.229;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.139;1.139;1.139;1.129;1.129;1.129;1.129;1.129;1.129;1.129
203;CIEZA                    ;CARRETERA N 301 A KM. 355;-1.412389;38.245833;REPSOL;REPSOL;1;1.201205;0.021295;0.017728;1.209;1.209;1.209;1.159;1.229;1.225;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
204;SAN ANTONIO ABAD         ;CARRETERA N 301 LOS DOLORES KM. 434;-1.002917;37.632472;REPSOL;REPSOL;1;1.201821;0.020375;0.016953;1.209;1.209;1.209;1.219;1.219;1.239;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.199;1.199;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.189;1.179;1.179;1.179;1.179;1.179
205;MAZARRON                 ;CARRETERA N 332 KM. 25;-1.317139;37.587639;BP;BP;1;1.213692;0.020862;0.017189;1.215;1.215;1.215;1.219;1.224;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.229;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.179;1.179;1.189;1.189;1.189;1.189;1.189
206;PUNTAL (EL)              ;CARRETERA N-301 DESVIO ESPINARDO. KM. 389;-1.144694;38.000333;REPSOL;REPSOL;1;1.206462;0.025038;0.020753;1.209;1.209;1.209;1.224;1.235;1.239;1.249;1.249;1.249;1.239;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.209;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.169;1.169;1.169;1.169;1.189;1.189;1.199;1.199;1.199;1.199;1.199;1.199;1.189
207;CABEZO CORTADO;CARRETERA N-301 KM. 388;-1.160694;38.020417;REPSOL;REPSOL;1;1.184026;0.025435;0.021482;1.199;1.199;1.199;1.219;1.209;1.119;1.225;1.219;1.219;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.189;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.149;1.149;1.149;1.149;1.159;1.159;1.169;1.169;1.169;1.169;1.169;1.169;1.159
208;BAÑOS Y MENDIGO          ;CARRETERA N-301 KM. 410;-1.130028;37.869944;REPSOL;REPSOL;1;1.169513;0.022066;0.018868;1.169;1.189;1.189;1.209;1.199;1.149;1.159;1.199;1.199;1.199;1.189;1.189;1.159;1.159;1.159;1.199;1.199;1.199;1.189;1.159;1.159;1.179;1.179;1.169;1.169;1.169;1.129;1.129;1.129;1.129;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.149;1.149
209;ULEA                     ;CARRETERA N-301A KM. 361.2;-1.313167;38.173222;CEPSA;CEPSA;1;1.185641;0.018529;0.015627;1.199;1.199;1.199;1.199;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.179;1.179;1.169;1.169;1.165;1.169;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.165;1.165;1.165;1.159;1.159
210;MOLINA DE SEGURA         ;CARRETERA N-301A KM. 377.8;-1.218778;38.061278;CEPSA;CEPSA;1;1.185103;0.021421;0.018075;1.195;1.199;1.199;1.225;1.215;1.229;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.175;1.175;1.169;1.169;1.164;1.164;1.175;1.165;1.165;1.165;1.169;1.164;1.164;1.165;1.165;1.164;1.164;1.164;1.155;1.155
211;MURCIA ;CARRETERA N-301A KM. 395.000;-1.156389;37.949556;"ESTACION DE SERVICIO ""LOS ARCOS""";OTRO;1;1.207103;0.022654;0.018768;1.219;1.219;1.219;1.225;1.219;1.239;1.229;1.239;1.239;1.239;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.219;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
212;PUERTO DE MAZARRON       ;CARRETERA N-332 KM. 30.2;-1.238083;37.580278;REPSOL;REPSOL;1;1.219769;0.017451;0.014307;1.229;1.229;1.229;1.219;1.239;1.209;1.249;1.249;1.249;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.239;1.229;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199
213;ALGAR (EL)               ;CARRETERA N-332A KM. 18;-0.871194;37.641250;CEPSA;CEPSA;1;1.186846;0.020176;0.016999;1.189;1.189;1.189;1.229;1.209;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.205;1.199;1.189;1.179;1.179;1.179;1.179;1.174;1.169;1.169;1.159;1.159;1.159;1.169;1.164;1.164;1.169;1.169;1.169;1.169;1.169;1.169;1.164
214;ALGAR (EL)               ;CARRETERA N-332A KM. 18;-0.871028;37.643611;CEPSA;CEPSA;1;1.187000;0.020616;0.017368;1.189;1.189;1.189;1.215;1.209;1.239;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.205;1.199;1.189;1.179;1.179;1.179;1.179;1.174;1.169;1.169;1.159;1.159;1.159;1.169;1.164;1.164;1.169;1.169;1.169;1.169;1.169;1.169;1.164
215;FERRIOL (EL)             ;CARRETERA N-332A KM. 4.5;-0.930417;37.610000;CAMPSA;CAMPSA;1;1.195821;0.020793;0.017388;1.199;1.199;1.199;1.215;1.209;1.209;1.229;1.229;1.229;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.179;1.179;1.179;1.179;1.179;1.179;1.169
216;LIBRILLA                 ;CARRETERA N-340 KM. 309.8;-1.360389;37.885556;REPSOL;REPSOL;1;1.193462;0.018630;0.015610;1.200;1.200;1.200;1.209;1.230;1.229;1.230;1.220;1.220;1.220;1.210;1.210;1.210;1.210;1.210;1.200;1.200;1.200;1.180;1.180;1.180;1.180;1.180;1.180;1.180;1.175;1.183;1.183;1.183;1.183;1.185;1.185;1.175;1.175;1.170;1.170;1.170;1.170;1.170
217;PUERTO LUMBRERAS         ;CARRETERA N-340 KM. 583.2;-1.800833;37.575694;CEPSA;CEPSA;1;1.188385;0.023692;0.019936;1.195;1.199;1.199;1.230;1.215;1.219;1.229;1.229;1.229;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.209;1.219;1.189;1.184;1.184;1.179;1.179;1.164;1.164;1.175;1.165;1.165;1.165;1.169;1.164;1.164;1.165;1.165;1.164;1.164;1.164;1.155;1.155
218;ZARCILLA DE RAMOS        ;CARRETERA N-340 KM. 585.2;-1.752222;37.616944;REPSOL;REPSOL;1;1.203000;0.022731;0.018896;1.219;1.219;1.219;1.225;1.229;1.249;1.239;1.239;1.239;1.239;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.199;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
219;SANTOMERA                ;CARRETERA N-340 SISCAR ORIHUELA KM. 676.50;-1.038639;38.063472;REPSOL;REPSOL;1;1.207205;0.017885;0.014815;1.239;1.239;1.239;1.229;1.209;1.189;1.209;1.224;1.224;1.224;1.224;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.179;1.179;1.179;1.179;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189
220;LORCA                    ;CARRETERA N-340A KM. 590.8;-1.711778;37.655111;CEPSA;CEPSA;1;1.185282;0.021205;0.017890;1.195;1.199;1.199;1.209;1.215;1.239;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.179;1.179;1.169;1.169;1.164;1.169;1.175;1.165;1.165;1.165;1.169;1.164;1.164;1.165;1.165;1.164;1.164;1.164;1.155;1.155
221;TOTANA                   ;CARRETERA N-340A KM. 615.5;-1.505778;37.759278;CEPSA;CEPSA;1;1.209154;0.011215;0.009275;1.219;1.219;1.219;1.225;1.229;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.194;1.194;1.189;1.189;1.199;1.199;1.209;1.219;1.219;1.219;1.219;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.189
222;ALHAMA DE MURCIA         ;CARRETERA N-340A KM. 630.5;-1.402694;37.859083;CEPSA;CEPSA;1;1.182974;0.022566;0.019075;1.199;1.189;1.189;1.225;1.209;1.229;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.175;1.175;1.169;1.169;1.164;1.164;1.169;1.159;1.159;1.159;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.155;1.155
223;SANGONERA LA SECA;CARRETERA N-340A KM. 646.9;-1.255944;37.947083;CEPSA;CEPSA;1;1.185359;0.022275;0.018792;1.195;1.199;1.199;1.215;1.215;1.249;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.175;1.175;1.169;1.169;1.164;1.164;1.175;1.165;1.165;1.165;1.169;1.164;1.164;1.165;1.165;1.164;1.164;1.164;1.155;1.155
224;ALCANTARILLA             ;CARRETERA N-340A KM. 650.1;-1.225694;37.961861;CEPSA;CEPSA;1;1.136077;0.030744;0.027062;1.139;1.139;1.139;1.225;1.159;1.249;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.149;1.149;1.149;1.149;1.149;1.129;1.129;1.129;1.119;1.119;1.119;1.109;1.119;1.109;1.109;1.109;1.119;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109
225;ALCANTARILLA             ;CARRETERA N-340A KM. 653.3;-1.203389;37.972944;CEPSA;CEPSA;1;1.180513;0.020736;0.017565;1.189;1.189;1.189;1.159;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.175;1.175;1.169;1.169;1.164;1.164;1.169;1.159;1.159;1.159;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.155;1.155
226;COBATILLAS               ;CARRETERA N-340A KM. 673;-1.076833;38.051750;CEPSA;CEPSA;1;1.185026;0.019248;0.016243;1.195;1.199;1.199;1.215;1.215;1.199;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.204;1.199;1.184;1.175;1.175;1.169;1.169;1.169;1.169;1.175;1.169;1.169;1.169;1.169;1.169;1.169;1.165;1.165;1.164;1.164;1.164;1.155;1.155
